Rk;G;Date;@;OppT;W/L;Tm;Opp;ORtg;DRtg;Pace;FTr;3PAr;TS%;TRB%;AST%;STL%;BLK%;a;eFG%;TOV%;ORB%;FT/FGA;b;OeFG%;OTOV%;DRB%;OFT/FGA;T
3;3;28/10/2023;;PHI;L;107;114;115.7;123.2;92.5;.218;.368;.561;49.4;73.7;5.4;8.6;;.534;12.0;28.3;.161;;.558;8.6;75.7;.209;TOR
4;4;30/10/2023;;POR;L;91;99;98.0;106.6;92.8;.160;.309;.452;48.0;50.0;10.8;8.0;;.426;9.9;26.9;.117;;.512;13.3;71.7;.141;TOR
5;5;01/11/2023;;MIL;W;130;111;136.0;116.1;95.6;.154;.418;.669;63.3;68.6;7.3;14.3;;.643;14.1;40.5;.143;;.546;11.5;83.3;.368;TOR
6;6;02/11/2023;@;PHI;L;99;114;101.7;117.1;97.3;.241;.354;.567;47.1;78.9;4.1;4.5;;.544;17.9;22.5;.165;;.505;12.0;68.1;.228;TOR
7;7;05/11/2023;@;SAS;W;123;116;114.9;108.4;97.0;.268;.495;.567;50.5;65.9;11.2;9.4;;.552;11.4;26.0;.165;;.552;14.3;79.1;.104;TOR
8;8;08/11/2023;@;DAL;W;127;116;122.0;111.4;104.1;.273;.364;.573;56.8;55.1;9.6;9.3;;.551;9.0;31.9;.182;;.577;13.3;85.4;.226;TOR
9;9;11/11/2023;@;BOS;L;94;117;97.0;120.7;97.0;.176;.407;.479;44.6;71.4;8.3;2.4;;.440;7.5;14.6;.154;;.634;11.6;85.7;.093;TOR
10;10;13/11/2023;;WAS;W;111;107;110.3;106.3;100.6;.278;.222;.550;55.8;62.2;10.9;6.9;;.522;13.7;34.8;.189;;.583;19.8;80.0;.107;TOR
11;11;15/11/2023;;MIL;L;112;128;117.5;134.3;95.3;.323;.344;.511;57.3;73.7;10.5;17.4;;.443;11.3;44.8;.281;;.635;12.1;76.3;.235;TOR
12;12;17/11/2023;;BOS;L;105;108;107.4;110.4;97.8;.161;.379;.564;48.2;69.0;4.1;2.2;;.552;12.2;12.2;.103;;.543;9.4;81.8;.087;TOR
13;13;19/11/2023;;DET;W;142;113;132.9;105.8;106.8;.284;.353;.619;53.4;80.0;9.4;8.8;;.608;5.7;26.1;.176;;.524;14.7;83.3;.313;TOR
14;14;21/11/2023;@;ORL;L;107;126;105.2;123.8;101.7;.293;.373;.632;48.7;76.3;5.9;8.7;;.600;21.4;16.7;.227;;.560;9.9;68.8;.140;TOR
15;15;22/11/2023;@;IND;W;132;131;125.9;125.0;104.8;.333;.300;.640;59.7;54.2;6.7;5.8;;.594;14.1;33.3;.278;;.648;12.5;86.8;.143;TOR
16;16;24/11/2023;;CHI;W;121;108;130.5;116.5;92.7;.325;.470;.638;51.9;72.7;8.6;10.9;;.608;12.9;31.7;.241;;.585;11.7;75.0;.146;TOR
1;1;25/10/2023;;CLE;L;113;114;115.9;116.9;97.5;.310;.321;.592;56.8;71.4;6.2;11.8;;.554;15.1;31.0;.238;;.559;9.2;80.4;.096;BRK
2;2;27/10/2023;@;DAL;L;120;125;119.2;124.2;100.6;.109;.467;.622;54.0;66.7;5.0;7.3;;.603;13.5;23.8;.098;;.566;8.0;82.2;.242;BRK
3;3;30/10/2023;@;CHO;W;133;121;128.9;117.3;103.2;.368;.379;.658;54.1;51.0;3.9;12.3;;.632;11.4;24.4;.264;;.531;7.9;81.8;.198;BRK
4;4;01/11/2023;@;MIA;W;109;105;106.6;102.7;102.3;.317;.439;.583;50.5;73.0;10.8;7.5;;.549;16.2;16.7;.232;;.500;13.9;78.4;.154;BRK
5;5;03/11/2023;@;CHI;W;109;107;115.5;113.4;94.3;.052;.469;.555;48.1;72.7;4.2;6.6;;.552;7.5;19.5;.031;;.545;9.5;77.5;.112;BRK
6;6;04/11/2023;;BOS;L;114;124;114.3;124.4;99.7;.170;.520;.530;45.7;51.2;4.0;11.1;;.515;4.4;20.0;.110;;.561;9.7;76.2;.256;BRK
7;7;06/11/2023;;MIL;L;125;129;123.1;127.0;101.6;.129;.446;.586;48.9;44.9;2.0;8.3;;.564;7.0;23.4;.109;;.563;8.6;74.5;.219;BRK
8;8;08/11/2023;;LAC;W;100;93;103.6;96.3;96.5;.141;.446;.512;49.0;59.5;10.4;18.2;;.484;12.5;25.9;.120;;.440;13.4;76.1;.143;BRK
9;9;10/11/2023;@;BOS;L;107;121;114.9;129.9;93.1;.212;.435;.576;46.9;68.4;0.0;7.1;;.535;9.7;20.5;.188;;.537;6.2;68.5;.213;BRK
10;10;12/11/2023;;WAS;W;102;94;100.7;92.8;101.2;.204;.500;.478;61.1;59.5;5.9;12.8;;.439;14.4;36.4;.163;;.432;10.8;86.8;.205;BRK
11;11;14/11/2023;;ORL;W;124;104;131.8;110.6;94.0;.235;.459;.661;54.3;47.8;13.8;8.3;;.653;13.8;31.7;.153;;.537;13.3;77.5;.195;BRK
12;12;16/11/2023;@;MIA;L;115;122;122.5;130.0;93.9;.318;.424;.594;55.6;72.5;5.3;6.5;;.553;12.6;28.6;.247;;.611;8.9;81.1;.284;BRK
13;13;19/11/2023;;PHI;L;99;121;106.3;129.9;93.2;.198;.346;.562;50.6;63.2;2.1;13.6;;.537;14.6;20.9;.148;;.553;3.8;78.3;.181;BRK
14;14;22/11/2023;@;ATL;L;145;147;125.7;127.4;104.5;.212;.310;.587;50.4;50.9;6.9;9.0;;.553;11.5;37.9;.177;;.517;9.8;62.7;.233;BRK
15;15;25/11/2023;;MIA;W;112;97;121.5;105.2;92.2;.295;.462;.635;48.8;69.2;11.9;17.0;;.590;11.1;20.5;.256;;.500;15.5;72.3;.115;BRK
1;1;26/10/2023;;PHI;W;118;117;116.1;115.1;101.7;.444;.370;.609;52.4;48.8;8.9;8.9;;.574;12.6;18.6;.309;;.613;14.0;89.7;.238;MIL
2;2;29/10/2023;;ATL;L;110;127;106.6;123.1;103.2;.233;.512;.580;45.9;56.4;9.7;5.4;;.547;19.5;26.7;.186;;.586;14.2;67.5;.194;MIL
3;3;30/10/2023;;MIA;W;122;114;120.2;112.4;101.5;.345;.425;.609;51.8;54.5;7.9;9.6;;.575;12.3;21.4;.253;;.552;12.9;82.9;.221;MIL
